Time resolution is 1 ps
Starting I2S testbench...
T=169852000 | sim_L=acc3 sim_R=12a4 | rx_L=1294 rx_R=acc3 | tx_out=0
T=175535000 | sim_L=adc3 sim_R=12b4 | rx_L=1294 rx_R=acc3 | tx_out=0
T=175536000 CHECK left:  rx=1294  sim=adc3  MISMATCH
T=175536000 CHECK right: rx=acc3  sim=12b4  MISMATCH
T=175891000 | sim_L=adc3 sim_R=12b4 | rx_L=12a4 rx_R=acc3 | tx_out=x
T=176246000 | sim_L=adc3 sim_R=12b4 | rx_L=12a4 rx_R=acc3 | tx_out=0
T=177311000 | sim_L=adc3 sim_R=12b4 | rx_L=12a4 rx_R=acc3 | tx_out=1
T=177667000 | sim_L=adc3 sim_R=12b4 | rx_L=12a4 rx_R=acc3 | tx_out=0
T=178377000 | sim_L=adc3 sim_R=12b4 | rx_L=12a4 rx_R=acc3 | tx_out=1
T=178732000 | sim_L=adc3 sim_R=12b4 | rx_L=12a4 rx_R=acc3 | tx_out=0
T=179087000 | sim_L=adc3 sim_R=12b4 | rx_L=12a4 rx_R=acc3 | tx_out=1
T=179443000 | sim_L=adc3 sim_R=12b4 | rx_L=12a4 rx_R=acc3 | tx_out=0
T=180863000 | sim_L=adc3 sim_R=12b4 | rx_L=12a4 rx_R=acc3 | tx_out=1
T=181219000 | sim_L=adc3 sim_R=12b4 | rx_L=12a4 rx_R=acc3 | tx_out=0
T=187612000 | sim_L=adc3 sim_R=12b4 | rx_L=12a4 rx_R=adc3 | tx_out=x
T=187967000 | sim_L=adc3 sim_R=12b4 | rx_L=12a4 rx_R=adc3 | tx_out=1
T=188323000 | sim_L=adc3 sim_R=12b4 | rx_L=12a4 rx_R=adc3 | tx_out=0
T=188678000 | sim_L=adc3 sim_R=12b4 | rx_L=12a4 rx_R=adc3 | tx_out=1
T=189033000 | sim_L=adc3 sim_R=12b4 | rx_L=12a4 rx_R=adc3 | tx_out=0
T=189388000 | sim_L=adc3 sim_R=12b4 | rx_L=12a4 rx_R=adc3 | tx_out=1
T=189743000 | sim_L=adc3 sim_R=12b4 | rx_L=12a4 rx_R=adc3 | tx_out=0
T=190099000 | sim_L=adc3 sim_R=12b4 | rx_L=12a4 rx_R=adc3 | tx_out=1
T=191519000 | sim_L=adc3 sim_R=12b4 | rx_L=12a4 rx_R=adc3 | tx_out=0
T=192940000 | sim_L=adc3 sim_R=12b4 | rx_L=12a4 rx_R=adc3 | tx_out=1
T=193295000 | sim_L=adc3 sim_R=12b4 | rx_L=12a4 rx_R=adc3 | tx_out=0
T=198979000 | sim_L=aec3 sim_R=12c4 | rx_L=12a4 rx_R=adc3 | tx_out=0
T=198980000 CHECK left:  rx=12a4  sim=aec3  MISMATCH
T=198980000 CHECK right: rx=adc3  sim=12c4  MISMATCH
T=199334000 | sim_L=aec3 sim_R=12c4 | rx_L=12b4 rx_R=adc3 | tx_out=x
T=199689000 | sim_L=aec3 sim_R=12c4 | rx_L=12b4 rx_R=adc3 | tx_out=0
T=200755000 | sim_L=aec3 sim_R=12c4 | rx_L=12b4 rx_R=adc3 | tx_out=1
T=201110000 | sim_L=aec3 sim_R=12c4 | rx_L=12b4 rx_R=adc3 | tx_out=0
T=201820000 | sim_L=aec3 sim_R=12c4 | rx_L=12b4 rx_R=adc3 | tx_out=1
T=202175000 | sim_L=aec3 sim_R=12c4 | rx_L=12b4 rx_R=adc3 | tx_out=0
T=202531000 | sim_L=aec3 sim_R=12c4 | rx_L=12b4 rx_R=adc3 | tx_out=1
T=202886000 | sim_L=aec3 sim_R=12c4 | rx_L=12b4 rx_R=adc3 | tx_out=0
T=203596000 | sim_L=aec3 sim_R=12c4 | rx_L=12b4 rx_R=adc3 | tx_out=1
T=203951000 | sim_L=aec3 sim_R=12c4 | rx_L=12b4 rx_R=adc3 | tx_out=0
T=204307000 | sim_L=aec3 sim_R=12c4 | rx_L=12b4 rx_R=adc3 | tx_out=1
T=204662000 | sim_L=aec3 sim_R=12c4 | rx_L=12b4 rx_R=adc3 | tx_out=0
T=211055000 | sim_L=aec3 sim_R=12c4 | rx_L=12b4 rx_R=aec3 | tx_out=x
T=211411000 | sim_L=aec3 sim_R=12c4 | rx_L=12b4 rx_R=aec3 | tx_out=1
T=211766000 | sim_L=aec3 sim_R=12c4 | rx_L=12b4 rx_R=aec3 | tx_out=0
T=212121000 | sim_L=aec3 sim_R=12c4 | rx_L=12b4 rx_R=aec3 | tx_out=1
T=212476000 | sim_L=aec3 sim_R=12c4 | rx_L=12b4 rx_R=aec3 | tx_out=0
T=212831000 | sim_L=aec3 sim_R=12c4 | rx_L=12b4 rx_R=aec3 | tx_out=1
T=213542000 | sim_L=aec3 sim_R=12c4 | rx_L=12b4 rx_R=aec3 | tx_out=0
T=214252000 | sim_L=aec3 sim_R=12c4 | rx_L=12b4 rx_R=aec3 | tx_out=1
T=214963000 | sim_L=aec3 sim_R=12c4 | rx_L=12b4 rx_R=aec3 | tx_out=0
T=216383000 | sim_L=aec3 sim_R=12c4 | rx_L=12b4 rx_R=aec3 | tx_out=1
T=216739000 | sim_L=aec3 sim_R=12c4 | rx_L=12b4 rx_R=aec3 | tx_out=0
T=222422000 | sim_L=afc3 sim_R=12d4 | rx_L=12b4 rx_R=aec3 | tx_out=0
T=222423000 CHECK left:  rx=12b4  sim=afc3  MISMATCH
T=222423000 CHECK right: rx=aec3  sim=12d4  MISMATCH
T=222777000 | sim_L=afc3 sim_R=12d4 | rx_L=12c4 rx_R=aec3 | tx_out=x
T=223132000 | sim_L=afc3 sim_R=12d4 | rx_L=12c4 rx_R=aec3 | tx_out=0
T=224198000 | sim_L=afc3 sim_R=12d4 | rx_L=12c4 rx_R=aec3 | tx_out=1
T=224553000 | sim_L=afc3 sim_R=12d4 | rx_L=12c4 rx_R=aec3 | tx_out=0
T=225263000 | sim_L=afc3 sim_R=12d4 | rx_L=12c4 rx_R=aec3 | tx_out=1
T=225619000 | sim_L=afc3 sim_R=12d4 | rx_L=12c4 rx_R=aec3 | tx_out=0
T=225974000 | sim_L=afc3 sim_R=12d4 | rx_L=12c4 rx_R=aec3 | tx_out=1
T=226329000 | sim_L=afc3 sim_R=12d4 | rx_L=12c4 rx_R=aec3 | tx_out=0
T=226684000 | sim_L=afc3 sim_R=12d4 | rx_L=12c4 rx_R=aec3 | tx_out=1
T=227039000 | sim_L=afc3 sim_R=12d4 | rx_L=12c4 rx_R=aec3 | tx_out=0
T=227750000 | sim_L=afc3 sim_R=12d4 | rx_L=12c4 rx_R=aec3 | tx_out=1
T=228105000 | sim_L=afc3 sim_R=12d4 | rx_L=12c4 rx_R=aec3 | tx_out=0
T=234499000 | sim_L=afc3 sim_R=12d4 | rx_L=12c4 rx_R=afc3 | tx_out=x
T=234854000 | sim_L=afc3 sim_R=12d4 | rx_L=12c4 rx_R=afc3 | tx_out=1
T=235209000 | sim_L=afc3 sim_R=12d4 | rx_L=12c4 rx_R=afc3 | tx_out=0
T=235564000 | sim_L=afc3 sim_R=12d4 | rx_L=12c4 rx_R=afc3 | tx_out=1
T=235919000 | sim_L=afc3 sim_R=12d4 | rx_L=12c4 rx_R=afc3 | tx_out=0
T=236275000 | sim_L=afc3 sim_R=12d4 | rx_L=12c4 rx_R=afc3 | tx_out=1
T=236985000 | sim_L=afc3 sim_R=12d4 | rx_L=12c4 rx_R=afc3 | tx_out=0
T=237340000 | sim_L=afc3 sim_R=12d4 | rx_L=12c4 rx_R=afc3 | tx_out=1
T=238406000 | sim_L=afc3 sim_R=12d4 | rx_L=12c4 rx_R=afc3 | tx_out=0
T=239827000 | sim_L=afc3 sim_R=12d4 | rx_L=12c4 rx_R=afc3 | tx_out=1
T=240182000 | sim_L=afc3 sim_R=12d4 | rx_L=12c4 rx_R=afc3 | tx_out=0
T=245865000 | sim_L=b0c3 sim_R=12e4 | rx_L=12c4 rx_R=afc3 | tx_out=0
T=245866000 CHECK left:  rx=12c4  sim=b0c3  MISMATCH
T=245866000 CHECK right: rx=afc3  sim=12e4  MISMATCH
T=246220000 | sim_L=b0c3 sim_R=12e4 | rx_L=12d4 rx_R=afc3 | tx_out=x
T=246575000 | sim_L=b0c3 sim_R=12e4 | rx_L=12d4 rx_R=afc3 | tx_out=0
T=247641000 | sim_L=b0c3 sim_R=12e4 | rx_L=12d4 rx_R=afc3 | tx_out=1
T=247996000 | sim_L=b0c3 sim_R=12e4 | rx_L=12d4 rx_R=afc3 | tx_out=0
T=248707000 | sim_L=b0c3 sim_R=12e4 | rx_L=12d4 rx_R=afc3 | tx_out=1
T=249062000 | sim_L=b0c3 sim_R=12e4 | rx_L=12d4 rx_R=afc3 | tx_out=0
T=249417000 | sim_L=b0c3 sim_R=12e4 | rx_L=12d4 rx_R=afc3 | tx_out=1
T=249772000 | sim_L=b0c3 sim_R=12e4 | rx_L=12d4 rx_R=afc3 | tx_out=0
T=250127000 | sim_L=b0c3 sim_R=12e4 | rx_L=12d4 rx_R=afc3 | tx_out=1
T=250838000 | sim_L=b0c3 sim_R=12e4 | rx_L=12d4 rx_R=afc3 | tx_out=0
T=251193000 | sim_L=b0c3 sim_R=12e4 | rx_L=12d4 rx_R=afc3 | tx_out=1
T=251548000 | sim_L=b0c3 sim_R=12e4 | rx_L=12d4 rx_R=afc3 | tx_out=0
T=257942000 | sim_L=b0c3 sim_R=12e4 | rx_L=12d4 rx_R=b0c3 | tx_out=x
T=258297000 | sim_L=b0c3 sim_R=12e4 | rx_L=12d4 rx_R=b0c3 | tx_out=1
T=258652000 | sim_L=b0c3 sim_R=12e4 | rx_L=12d4 rx_R=b0c3 | tx_out=0
T=259007000 | sim_L=b0c3 sim_R=12e4 | rx_L=12d4 rx_R=b0c3 | tx_out=1
T=259363000 | sim_L=b0c3 sim_R=12e4 | rx_L=12d4 rx_R=b0c3 | tx_out=0
T=259718000 | sim_L=b0c3 sim_R=12e4 | rx_L=12d4 rx_R=b0c3 | tx_out=1
T=260783000 | sim_L=b0c3 sim_R=12e4 | rx_L=12d4 rx_R=b0c3 | tx_out=0
T=261139000 | sim_L=b0c3 sim_R=12e4 | rx_L=12d4 rx_R=b0c3 | tx_out=1
T=261849000 | sim_L=b0c3 sim_R=12e4 | rx_L=12d4 rx_R=b0c3 | tx_out=0
T=263270000 | sim_L=b0c3 sim_R=12e4 | rx_L=12d4 rx_R=b0c3 | tx_out=1
T=263625000 | sim_L=b0c3 sim_R=12e4 | rx_L=12d4 rx_R=b0c3 | tx_out=0
T=269308000 | sim_L=b1c3 sim_R=12f4 | rx_L=12d4 rx_R=b0c3 | tx_out=0
T=269309000 CHECK left:  rx=12d4  sim=b1c3  MISMATCH
T=269309000 CHECK right: rx=b0c3  sim=12f4  MISMATCH
T=269663000 | sim_L=b1c3 sim_R=12f4 | rx_L=12e4 rx_R=b0c3 | tx_out=x
T=270019000 | sim_L=b1c3 sim_R=12f4 | rx_L=12e4 rx_R=b0c3 | tx_out=0
T=271084000 | sim_L=b1c3 sim_R=12f4 | rx_L=12e4 rx_R=b0c3 | tx_out=1
